Name,URL,Logo,Description,Contact,Ads Count
Hyper Garage,/avtosalonlar/avtosalon-hyper-garage,https://turbo.azstatic.com/uploads/f352x352/2025%2F06%2F11%2F15%2F03%2F15%2F64ac7056-31fa-42da-a709-fd900734bd7a%2F4513_SdFmiiX51JZHxZnCDO0xMg.jpg,"Şirkətimiz dünyanın bir neçə ölkəsində fəaliyyət göstərir. Artıq bir ildən çoxdur ki, Azərbaycan bazarında da fəaliyyət göstəririk və burada həm topdan, həm də pərakəndə satışla məşğuluq.","(055) 239-15-99, (051) 868-09-57, (070) 814-57-53, (010) 723-23-01",16
ZZ 007 Cars,/avtosalonlar/avtosalon-zz-007-cars,https://turbo.azstatic.com/uploads/f352x352/2024%2F01%2F12%2F13%2F44%2F09%2F4bc3af43-e709-4f70-92ba-24501d155bf1%2Fz.jpg,"Yeni və sürülmüş avtomobillər sərfəli qiymətlərlə. Həm yeni, həm də sürülmüş avtomobillərə böyük endirimlər, həmçinin əla kredit şərtləri.","(077) 301-00-07, (055) 362-00-07",33
Badamdar Avtomobil Mərkəzi,/avtosalonlar/avtosalon-badamdar-avtomobil-merkezi,https://turbo.azstatic.com/uploads/f352x352/2024%2F01%2F12%2F12%2F43%2F29%2F8edf66c1-71da-4624-b0c2-9065876b3cb6%2F%D0%94%D0%B8%D0%B7%D0%B0%D0%B8%CC%86%D0%BD%20%D0%B1%D0%B5%D0%B7%20%D0%BD%D0%B0%D0%B7%D0%B2%D0%B0%D0%BD%D0%B8%D1%8F.jpg,"""Kia"", ""Toyota"", ""BYD"" və ""Changan"" avtomobillərinin satışını həyata keçiririk. Avtomobilləri kredit, lizinq və ya köçürmə yolu ilə əldə edə bilərsiniz.","(055) 245-43-42, (050) 345-43-42, (099) 228-33-88",15
Forsaj M.M,/avtosalonlar/avtosalon-forsaj-mm,https://turbo.azstatic.com/uploads/f352x352/2023%2F07%2F10%2F12%2F42%2F29%2F6abafb97-48be-4cf3-9689-566920a3775b%2Flogogogo%20%281%29.png,"Avtosalon ""Forsaj M.M"" - bütün növ avtomobillərin alışı, satışı və barteri.","(051) 390-90-70, (099) 360-90-70, (077) 320-90-70",4
N1 Cars,/avtosalonlar/avtosalon-n1-cars,https://turbo.azstatic.com/uploads/f352x352/2021%2F10%2F07%2F12%2F55%2F25%2Fb504dfa7-da21-4df5-bb5b-039fe344b625%2Fno1cars.png,"""N1 Cars"" avtosalonu optimal kredit, lizinq, barter və sifariş xidmətləri göstərir.","(070) 347-07-07, (050) 788-71-51, (055) 686-91-78, (012) 374-86-79",22
VV Cars,/avtosalonlar/avtosalon-vv-cars,https://turbo.azstatic.com/uploads/f352x352/2022%2F03%2F04%2F11%2F27%2F50%2F94b43ea9-0b74-43b7-867d-9edc11e6b036%2Flogo.png,"""VV Cars"" avtosalonu – istənilən avtomobil markası üzrə nağd, kredit, lizinq və barter yolu ilə alqı-satqı xidmətlərini göstərir.","(050) 355-63-63, (070) 355-63-63, (077) 355-63-63",28
Pro Cars,/avtosalonlar/avtosalon-pro-cars,https://turbo.azstatic.com/uploads/f352x352/2020%2F08%2F10%2F14%2F32%2F43%2Fe6c7039e-d85e-4a3d-bd18-096084b3e889%2FLOGO.jpeg,"""Pro Cars"" avtosalonu sizlərə seçilmiş və tam yoxlamadan keçmiş avtomobilləri təqdim edir.","(055) 241-03-00, (055) 352-00-33",43
Aİ Cars,/avtosalonlar/avtosalon-ai-cars,https://turbo.azstatic.com/uploads/f352x352/2025%2F05%2F29%2F09%2F47%2F48%2F959581f9-c0f6-47c8-86be-0e90868df85a%2F4513_SdFmiiX51JZHxZnCDO0xMg.jpg,Çindən innovativ və ağıllı avtomobillərin idxalı və peşəkar satışı.,"(055) 850-96-66, (051) 882-11-29, (051) 882-11-26, (051) 882-11-78, (051) 882-11-25",7
Auto House,/avtosalonlar/avtosalon-auto-house,https://turbo.azstatic.com/uploads/f352x352/2022%2F11%2F23%2F13%2F03%2F15%2Fd347543e-9ee1-4522-bb0f-e6b5b4d85543%2Flogogo.png,"Lüks avtomobillərin satış mərkəzi. Barter, alış və təkrar satış mümkündür.","(012) 562-51-15, (050) 406-80-08, (050) 627-23-76",22
Salam Avto,/avtosalonlar/avtosalon-salam-avto,https://turbo.azstatic.com/uploads/f352x352/2023%2F07%2F04%2F09%2F51%2F34%2F46ca10a0-8084-4bbb-80ac-fc3784667672%2Flogog.png,"Avtomobil sektorunda 14 ildən artıq satış təcrübəsinə malik, peşəkar heyətimiz və sərfəli qiymətlərimizlə xidmətinizdəyik. Artıq ""Salam Avto"" adı ilə yeni ünvanda xidmətinizdəyik.","(050) 711-11-41, (051) 329-11-15, (050) 210-80-94",151
RL Avto,/avtosalonlar/avtosalon-rl-avto,https://turbo.azstatic.com/uploads/f352x352/2025%2F03%2F21%2F10%2F39%2F23%2F64a4b3eb-244f-4fad-9d15-e8285d830b36%2F70473_QrTN9IRaiEdJVbJnUL_W4A.jpg,"Yeni Çin avtomobillərinin nağd, köçürmə, aşağı faizli kredit və lizinq yolu ilə satışı.","(051) 286-66-66, (055) 327-65-47",14
Okean,/avtosalonlar/avtosalon-okean,https://turbo.azstatic.com/uploads/f352x352/2025%2F05%2F06%2F11%2F24%2F48%2F0a7c6d74-3807-4139-92d2-c6d81c0e74ce%2F90941_pEdzVXN_qIkjJHk8mVJfRA.jpg,"""Okean Avto 2011"" MMC (VÖEN: 1401936751) - 30% ilkin ödəniş etməklə, 36 ayadək MANAT ilə sərfəli daxili kredit! 2 saat ərzində rəsmiləşdirmə ilə avtomobil alıcıya təhvil verilir.",(050) 770-33-44,15
RH,/avtosalonlar/avtosalon-rh,https://turbo.azstatic.com/uploads/f352x352/2022%2F10%2F24%2F15%2F58%2F10%2Fa7739fe0-58cd-4171-be2e-643538e5f914%2Flogogo.png,Avtomobillərin nağd və kreditlə alqı-satqısı və barteri. Avropadan istənilən avtomobillərin ən cəlbedici qiymətlərlə çatdırılması.,"(055) 378-91-91, (050) 378-91-91, (070) 378-91-91",24
Auto City,/avtosalonlar/avtosalon-autocity,https://turbo.azstatic.com/uploads/f352x352/2017%2F09%2F29%2F17%2F44%2F00%2F604%2FIMG_2851.JPG,"Sərfəli şərtlərlə avtomobil alqı-satqısı, barteri və krediti.",(055) 898-99-99,9
IST Cars Sumqayıt,/avtosalonlar/avtosalon-1istsumqayit,https://turbo.azstatic.com/uploads/f352x352/2022%2F08%2F08%2F15%2F45%2F22%2Ffad076d7-ce60-499a-b3ce-f7ff564a21e0%2Fistlogo.png,"""IST Cars Sumqayıt"" avtosalonu сavan və dinamik sahibkarlar tərəfindən idarə olunur. İşimizdə düzgünlük, halallıq və açıq rəqabət tərəfdarıyıq.","(050) 600-50-44, (055) 600-50-44",55
StarMoto,/avtosalonlar/motosalon-starmoto,https://turbo.azstatic.com/uploads/f352x352/2025%2F06%2F20%2F17%2F07%2F52%2F526f18ab-df71-42b4-b151-b62d9692f344%2F92313_wLbwyJGJi75X1LikQGRJwg.jpg,⁠StarMoto - Məqsədimiz məmnunluğunuzdur,(055) 833-33-99,5
Eco Auto,/avtosalonlar/avtosalon-eco-auto,https://turbo.azstatic.com/uploads/f352x352/2024%2F06%2F20%2F15%2F30%2F46%2Ffc79b5aa-4a10-46c8-8ee1-f6d04c49ac19%2Fecoautologo.jpg,"Avtomobillər həm salonumuzda zəmanətli şəkildə təqdim olunur, həm də satış təmsilçilərimizin məsləhəti ilə zövqünüzə və tələbinizə uyğun olaraq sifarişlə gətirilir.","(070) 288-88-88, (070) 288-88-70",11
030 Avto,/avtosalonlar/avtosalon-030-avto,https://turbo.azstatic.com/uploads/f352x352/2024%2F06%2F21%2F14%2F16%2F14%2F843312da-6a55-49d4-8e0c-9d2a8f04b8fb%2F030cars.jpg,"Avtosalon ""030 Avto"" 2005-ci ildən fəaliyyət göstərir və daima müştəri məmnuniyyəti üçün çalışır.","(070) 641-66-00, (055) 320-00-02",41
Abşeron Cars,/avtosalonlar/avtosalon-absheron-cars,https://turbo.azstatic.com/uploads/f352x352/2023%2F03%2F07%2F14%2F43%2F16%2F8399227b-c6c8-4934-9c95-40a85206c2a2%2Fabseronnlogo.png,"""Abşeron Cars"" avtosalonu avtomobillərin nağd və sərfəli kredit şərtləri ilə alqı-satqısı üzrə xidmətlər təqdim edir.","(050) 783-39-50, (055) 783-39-50, (070) 783-39-50",64
Adventure Motors,/avtosalonlar/adventure-motors,https://turbo.azstatic.com/uploads/f352x352/2025%2F01%2F21%2F14%2F09%2F15%2F5041a5de-9835-4f09-8e31-09f76336af41%2F15247_eRuz4Do5pS0g3SY6jF6RZg.jpg,"Adventure Motors BRP-nin rəsmi distribütorudur, kvadrosikl, baqi və hidrosikllərin satışında ixtisaslaşır. Müştərilərə açıq hava sərgüzəştləri üçün keyfiyyətli məhsullar, ekspert məsləhəti və BRP-nin ən yeni modellərini təqdim edirik.",(050) 430-07-07,13
MyCars,/avtosalonlar/avtosalon-mycars,https://turbo.azstatic.com/uploads/f352x352/2023%2F11%2F20%2F11%2F15%2F38%2F825575a5-a6a1-41a0-a7e0-03253367d7e5%2Flogo.png,Stil və əlçatanlığın mükəmməl birləşməsi! Qiymətlərimiz sizi xoş təəccübləndirəcək. Əlverişli qiymətlərlə keyfiyyətli avtomobillər dünyasına qərq olun.,(010) 456-11-11,25
KAI Motors,/avtosalonlar/avtosalon-kai-motors,https://turbo.azstatic.com/uploads/f352x352/2025%2F04%2F07%2F09%2F30%2F01%2F4d20ec20-1fb5-43e3-b7be-5e6c8b5866f2%2F97099_EJ72UhgXp-49okZGEgL6Ig.jpg,"Biz sizə qabaqcıl texnologiya, əla qənaət və sərfəli qiymətləri özündə birləşdirən ən müasir və dəbli Çin avtomobillərini təklif edirik. Salonumuzda hər kəs arzuladığı avtomobili tapacaq biz isə peşəkar məsləhət və çevik alış şərtlərini təqdim edəcəyik! Salonumuza gəlməklə siz Çin avtomobil sənayesinin keyfiyyətini hiss edəcəksiniz!","(010) 110-10-98, (010) 525-52-12, (055) 225-47-39, (055) 391-70-77, (055) 687-70-77",11
Stock Cars,/avtosalonlar/avtosalon-stock-cars,https://turbo.azstatic.com/uploads/f352x352/2023%2F11%2F16%2F12%2F50%2F09%2Ff292b39e-0683-4eb0-a447-08b63ccf3396%2Flogo.png,"Avtosalon ""Stock Cars"" qənaətçil avtomobillərin ən əlverişli qiymətlərlə satışını həyata keçirir. 48 ayadək kredit mümkündür.","(050) 520-49-49, (099) 520-49-49",37
039 Cars Sumqayıt,/avtosalonlar/avtosalon-039,https://turbo.azstatic.com/uploads/f352x352/2021%2F05%2F21%2F11%2F01%2F14%2F91f58d81-13e3-4d55-8a02-f1fa701f78eb%2FPhoto_1621580442841.jpg,"""039 Cars Sumqayıt"" avtosalonunda təqdim olunan bütün avtomobillərin sazlığına zəmanət veririk!","(050) 399-00-39, (055) 388-10-39, (070) 388-10-39",64
F Avto,/avtosalonlar/avtosalon-f-avto,https://turbo.azstatic.com/uploads/f352x352/2024%2F04%2F24%2F12%2F06%2F08%2F49cc3a9a-0955-4a19-818b-b300c3bb0109%2FF-AVTO.jpg,"""F Avto"" avtosalonu avtomobillərin alışı və satışı, barter və kredit yolu ilə alqı-satqı xidmətləri göstərir.","(050) 536-56-59, (070) 536-56-59",13
SamAuto - Powered by Isuzu,/avtosalonlar/avtosalon-samauto-powered-by-isuzu,https://turbo.azstatic.com/uploads/f352x352/2021%2F06%2F09%2F12%2F45%2F03%2Faac0b55d-4f99-4f50-8d20-acd38333a419%2FLogo%20I%CC%87suzu.png,"""Azermash Park"" MMC SamAuto kommersiya nəqliyyat vasitələrinin satışını həyata keçirir. 2 il və ya 100.000 km zəmanət.",(055) 204-82-46,2
Carvill,/avtosalonlar/avtosalon-carvill,https://turbo.azstatic.com/uploads/f352x352/2022%2F03%2F03%2F14%2F05%2F27%2Fa7ee4733-8255-4c0d-a686-632fb8297ece%2Fcarvill.png,"20 ildir fəaliyyətdə olan avtosalonumuz avtomobillərin nağd, köçürmə yolu və kredit şərtləri ilə satışını təşkil edir.",(050) 329-01-06,14
Cars TT 039,/avtosalonlar/avtosalon-cars-tt-039,https://turbo.azstatic.com/uploads/f352x352/2022%2F05%2F16%2F12%2F23%2F02%2Fe1a29a9c-cfb9-4c64-bb28-334332a8c6f0%2Flogo.png,"Dəyərli müştərilər, yeni açılmış avtosalonumuzda sizləri görməyə şad olarıq. İstəyinizə və büdcənizə tam uyğun olan avtomobili seçməkdə köməklik göstəririk.","(070) 280-00-39, (055) 626-00-39",18
EM Cars,/avtosalonlar/avtosalon-em-cars,https://turbo.azstatic.com/uploads/f352x352/2024%2F05%2F31%2F14%2F44%2F05%2F080bf8a4-d59b-4f2b-bc69-e0b166b5d122%2Fblack.jpg,Avtomobillərin alqı-satqısı və barteri.,(050) 478-17-07,10
111 Cars,/avtosalonlar/111-cars,https://turbo.azstatic.com/uploads/f352x352/2025%2F07%2F03%2F17%2F01%2F03%2Fb678cffb-d903-41c3-a9d3-1044f8d2f8d0%2F92313_wLbwyJGJi75X1LikQGRJwg.jpg,"Elektrikli və hibrid avtomobillərini bizimlə kəşf edin! 111 Carsda Çin istehsalı avtomobillərin satışı mövcuddur. Ekoloji təmiz, qənaətli və ekonomik modellər sizi gözləyir. Ən yeni texnologiyaları birlikdə sınaqdan keçirək.","(050) 434-96-23, (050) 390-80-15, (055) 235-04-73",1
Avtolüks 2-ci əl,/avtosalonlar/avtosalon-avtoluks-ikinci-el,https://turbo.azstatic.com/uploads/f352x352/2023%2F07%2F10%2F12%2F37%2F26%2F4fc95ee0-2aba-4c0a-b234-2a81c30e55d9%2Fautolux.png,"Üstünlüklərimiz avtomobil sektorunda illərin təcrübəsinə malik peşəkar heyətimiz, rəqabətədavamlı qiymət siyasətimiz və sərfəli kredit və barter təkliflərimizdir.",(055) 225-75-73,4
Auto Mall,/avtosalonlar/avtosalon-automall,https://turbo.azstatic.com/uploads/f352x352/2019%2F05%2F27%2F14%2F24%2F04%2Fb9ae1c3f-f455-45aa-9fc2-1a03874bda7a%2Flogo.png,"Avtosalon səhifəmizdə sizi salamlayırıq! Biz işimizi şəffaflıq və etibar əsasında qururuq ki, yeni avtomobilin alışı sizlərə yalnız xoş təəsüratlar bəxş etsin.","(050) 303-03-02, (055) 303-03-02",23
AS,/avtosalonlar/avtosalon-as,https://turbo.azstatic.com/uploads/f352x352/2017%2F11%2F02%2F15%2F41%2F56%2F122%2Flogo.jpg,"1994-cü ildən Azərbaycanda ilk avtosalon olaraq fəaliyyət göstəririk. Bu günə kimi iş prinsipimiz düzgünlük, yüksək keyfiyyət və müştəri məmnuniyyəti olub.","(050) 213-62-22, (055) 213-62-22",13
Diamond Cars,/avtosalonlar/avtosalon-diamond-cars,https://turbo.azstatic.com/uploads/f352x352/2021%2F02%2F09%2F10%2F46%2F37%2F16841e48-e8b4-4bfb-ba97-26281740b73e%2Flogo.png,"Avtosalon ""Diamond Cars"" – Yeni və ikinci əl avtomobillərin sərfəli şərtlərlə alışı, satışı və barteri.",(077) 386-66-85,10
Elite Cars,/avtosalonlar/avtosalon-elite-cars,https://turbo.azstatic.com/uploads/f352x352/2024%2F06%2F10%2F14%2F15%2F01%2F26bf0f85-2460-4edd-b110-c54f23895de3%2Felitecorelogo.jpg,Yeni və işlənmiş avtomobillərin alqı-satqısı və barteri.,"(055) 898-58-88, (055) 303-66-66, (055) 524-94-44",32
Qoca Cars,/avtosalonlar/avtosalon-qoca-cars,https://turbo.azstatic.com/uploads/f352x352/2024%2F06%2F12%2F11%2F07%2F44%2F38eb7934-bdd3-4df7-8d01-0d35c825efb9%2FBrend%20Avto%20%282%29.jpg,Avtomobillərin alqı-satqısı və barteri.,"(077) 393-68-68, (055) 393-68-68, (010) 393-68-68",189
Full 111 Cars Sumqayıt,/avtosalonlar/avtosalon-full-111-cars,https://turbo.azstatic.com/uploads/f352x352/2021%2F04%2F28%2F15%2F25%2F41%2F36088719-7d5a-4d41-bbcb-7345909877f5%2Flogo.png,"""Full 111 Cars Sumqayıt"" - avtosalonda müştərilərin rahatlığı üçün hər cür şərait yaradılmışdır. Sərfəli şərtlərlə avtomobillərin satışı, alışı, barteri və digər xidmətlər təqdim olunur.","(050) 835-00-95, (099) 835-00-95, (070) 835-00-95, (055) 835-00-95",48
Prestige Auto,/avtosalonlar/avtosalon-prestige-auto,https://turbo.azstatic.com/uploads/f352x352/2023%2F06%2F05%2F15%2F13%2F39%2Ffa6d535d-f3b5-468b-89f9-f493c86ce1ee%2Flogo.png,"""Prestige Auto"" avtosalonu avtomobillərin yüksək qiymətlə alışını, eləcə də sərfəli şərtlərlə satışını və barterini həyata keçirir.","(050) 210-44-73, (050) 893-66-66, (051) 514-14-14",93
"Avtosalon ""999""",/avtosalonlar/avtosalon-999,https://turbo.azstatic.com/uploads/f352x352/2019%2F05%2F30%2F10%2F09%2F41%2Fd6849efd-b3d7-46ef-ad71-3ed03403e8dc%2Flogo99.png,Əldə etdiyimiz ən yüksək qazanc müştərilərimizin inam və məmnuniyyətidir.,"(050) 630-55-55, (099) 630-55-55, (070) 630-55-55, (077) 630-55-55",58
Cars 041,/avtosalonlar/avtosalon-cars-041,https://turbo.azstatic.com/uploads/f352x352/2022%2F12%2F08%2F15%2F05%2F59%2F56acba48-0375-40e0-ac28-128e98b2e51f%2FModern%20Auto%20Detailing%20Car%20Logo.png,"Yeni istifadəyə verilmiş ""Cars 041"" avtosalonu dəyərli müştərilərini gözləyir. Avtosalonda təqdim olunan bütün avtomobillərin sazlığına zəmanət verilir!","(070) 654-41-41, (099) 351-91-41",23
China Good Friend,/avtosalonlar/china-good-friend,https://turbo.azstatic.com/uploads/f352x352/2025%2F08%2F13%2F17%2F06%2F57%2Ff5146e60-d7a6-4896-a64a-707644679e3e%2F66008_-f1hpkebL9FYqnHCOa3oWQ.jpg,China Good Friend avtosalonu yeni Çin istehsalı avtomobillərinin satışını həyata keçirir. Çindən olan tərəfdaşlarla əməkdaşlıq edərək sifarişlə 20-25 gün ərzində istənilən avtomobili idxal edirik.,(099) 655-57-77,7
888 Cars,/avtosalonlar/avtosalon-888-cars,https://turbo.azstatic.com/uploads/f352x352/2025%2F10%2F21%2F17%2F12%2F06%2F455795bb-9f73-4524-8d43-adfbb2f6e118%2F37302_ksBAd98Yipnr_0BzNr1yHg.jpg,"Avtosalon ""888 Cars"" sizlərə zəmanətli və sərfəli kredit şərtləri ilə tam yoxlamadan keçmiş avtomobilləri təqdim edir.","(070) 945-68-88, (055) 645-68-88",48
Zero Motors,/avtosalonlar/avtosalon-zero-motors,https://turbo.azstatic.com/uploads/f352x352/2024%2F11%2F23%2F10%2F09%2F57%2F9c59be9e-7d09-4936-9f82-e5342bd5feef%2F15247_eRuz4Do5pS0g3SY6jF6RZg.jpg,"""Zero Motors""da təqdim olunan bütün avtomobilləri kredit, lizinq və ya köçürmə yolu ilə rəsmiləşdirmək mümkündür.","(077) 228-33-88, (055) 235-74-04, (010) 303-01-77, (010) 235-74-04",20
045 Avto Mingəçevir,/avtosalonlar/avtosalon-045-avto-mingecevir,https://turbo.azstatic.com/uploads/f352x352/2025%2F01%2F22%2F17%2F08%2F42%2F9407b402-29d4-4f31-bdd9-8fe28836a485%2F3752_4NpV7XsFM7A9UVCf68RBhw.jpg,Sizi Mingəçevir şəhərində yeni açılmış avtosalonumuza dəvət edirik! Burada keyfiyyətli avtomobilləri əlverişli qiymətlərlə tapa bilərsiniz. Alışınızı daha rahat etmək üçün biz sərfəli kredit şərtləri təklif edirik.,(055) 638-44-43,10
"Avtosalon ""222""",/avtosalonlar/avtosalon-222-sumqayit,https://turbo.azstatic.com/uploads/f352x352/2021%2F12%2F30%2F09%2F11%2F05%2F6693ae5d-2a40-4892-bf44-00abef5e01c5%2F%D0%94%D0%BE%D0%B1%D0%B0%D0%B2%D0%B8%D1%82%D1%8C%20%D0%B7%D0%B0%D0%B3%D0%BE%D0%BB%D0%BE%D0%B2%D0%BE%D0%BA.png,"Avtosalon ""222"" - sadə kommunikasiya, sadə satış şərtləri, sadə alış şərtləri, sadə əməkdaşlıq prinsipləri.","(055) 439-02-22, (050) 624-83-22, (077) 391-82-22",13
Baku Cars,/avtosalonlar/avtosalon-bakucars,https://turbo.azstatic.com/uploads/f352x352/2024%2F05%2F07%2F15%2F16%2F40%2F71973319-60e1-45bb-86c7-bd7c8e6db529%2Fbakucarslogo.jpg,"Alıcımız bizdən razı qalırsa, deməli deyiləsi sözümüz var. Bizi müştərimizdən soruşun!","(055) 686-91-90, (012) 437-63-33",40
"Avtosalon ""005""",/avtosalonlar/avtosalon-005,https://turbo.azstatic.com/uploads/f352x352/2024%2F02%2F14%2F17%2F13%2F46%2F2a135e98-609f-45c8-baa0-df7295e415bc%2FBlack%20and%20Blue%20Modern%20Rental%20Car%20Logo.jpg,Avtomobillərin alqı-satqısı və barteri.,(070) 766-05-05,12
Abu Dabi Cars №1,/avtosalonlar/avtosalon-abu-dabi-cars-n1,https://turbo.azstatic.com/uploads/f352x352/2023%2F01%2F30%2F15%2F25%2F52%2Fca963448-c080-48c6-9a2a-12d05bcfe317%2FWhatsApp%20Image%202023-01-30%20at%2015.24.44.jpeg,"""Abu Dabi Cars N1"" uzun illərdir eyni ünvanda – Babək pr. 61с-də sizə xidmət göstərir. Məqsədimiz müştərilərimizin bizə olan etimadını qoruyub saxlamaq, hər zövqə uyğun interyerlərə malik avtomobilləri təqdim etmək və yüksək xidmət göstərməkdir.","(055) 650-66-66, (050) 874-92-92",160
Turbo Cars,/avtosalonlar/avtosalon-turbo-cars,https://turbo.azstatic.com/uploads/f352x352/2025%2F01%2F31%2F15%2F06%2F29%2F0b4779c2-fb39-4899-ac69-cc2487bef9cb%2F15247_eRuz4Do5pS0g3SY6jF6RZg.jpg,"İstənilən növ 2-ci əl avtomobillərin alışı, satışı və barteri sərfəli kredit və lizinq şərtləri ilə həyata keçirilir.","(050) 307-24-24, (055) 307-24-24",16
CarPro,/avtosalonlar/avtosalon-car-pro,https://turbo.azstatic.com/uploads/f352x352/2022%2F12%2F08%2F17%2F47%2F33%2Fb6473f81-5d9a-4deb-8938-2b7a924f61e1%2Fphoto_2022-12-08%2017.47.25.jpeg,"İlkin ödəniş 20% olmaqla 36 aylıq daxili kredit imkanı, mühərrikə və sürətlər qutusuna 15000 km və ya 6 ay zəmanət, həmçinin 200-dən çox avtomobil seçimi.","(050) 500-09-89, (051) 290-10-44",17
Auto AY,/avtosalonlar/avtosalon-auto-ay,https://turbo.azstatic.com/uploads/f352x352/2018%2F10%2F22%2F12%2F29%2F37%2Fcac1bc11-9b36-451f-aa81-1c79e30b03e5%2Faylogo.jpg,"""Auto AY"" avtomobil salonunun fəlsəfəsində yalnız keyfiyyət və etibarlılıq öz əksini tapır.",(050) 357-00-27,17
Full Cars,/avtosalonlar/avtosalon-full-cars,https://turbo.azstatic.com/uploads/f352x352/2021%2F03%2F02%2F10%2F17%2F37%2F01cd05e5-3d51-4485-ba2e-044289d60f6e%2Flogogo.png,"Avtosalonumuzun əsas məqsədi yüksək keyfiyyətli xidmət göstərmək, etibarlı avtomobillər təqdim etmək və müştəri məmnuniyyəti qazanmaqdır.","(050) 670-08-00, (070) 670-08-00, (070) 296-77-66",13
011 Cars,/avtosalonlar/avtosalon-011-cars,https://turbo.azstatic.com/uploads/f352x352/2025%2F02%2F28%2F17%2F04%2F06%2Fdd4e92cd-4e08-4b72-bed7-a8c51948bdc4%2F83603_NnVipO7k_8o2mR0vhpmgbA.jpg,Avtomobillərin alqı-satqısı və barteri.,"(055) 770-16-11, (050) 582-51-11",12
